HLLG #,Read bibliography
13,"Rafael Hidalgo Prieto and Manuel Buzón Alarcón, ""Rabanales,"" in Las villas romanas de la Bética, ed. Hidalgo Prieto 2016, 127-136

Vargas, S. et alii  (2008): Informe Preliminar de Actividad Arqueológica Preventiva. Control Arqueológico de Movimientos de Tierra del Proyecto de Urbanización del Ppo (E)-1 «Parque Tecnológico de Rabanales»: Sector 2 y 3, Informe administrativo 
, inédito"
14,"Laura Ortiz Ramírez, ""Una villa romana en Ronda de Marrubial del s. I al IV d. de C,"" ROMVLA 10 (2011), 253-276.

Manuel D. Ruiz-Bueno and Belén Vázquez Navajas, ""Las termas en los suburbia de la Córdoba romana,"" in Termas públicas en Hispania (2020), 681-695, at 682-684, at 687"
15,"Manuel Buzón Alarcón, ""Santa Rosa,"" in Las villas romanas de la Bética (2016), vol. 2, 145-155; 

Rocío Penco Valenzuela, ""La villa romana de Santa Rosa. Resultados preliminares de una I.A.U. llevada a cabo en la parcela adyacente a las calles El Algarrobo 4, 6, 8, 10 y Cronista Rey Díaz, 3 de Córdoba,"" Anales de arqueología cordobesa 16 (2005), 11-34

José Manuel Salinas Villegas, ""El sector septentrional de la villa romana de Santa Rosa,"" Anales de arqueología cordobesa 16 (2005), 35-54. 



"
16,"Luis Guzmán Rubio, ""Llano de los Panaderos II,"" in Las villas romanas de la Bética, edited by Hidalgo Prieto (2016), vol. 2, 156-170"
17,"María del Carmen Barragán Valencia, ""La Valenzoneja,"" in Las villas romanas de la Bética, edited by Hidalgo Prieto (2016), vol. 2, 171-173, 2016"
18,"José Ramón Carrillo Díaz-Pinés, ""El Ruedo,"" in Las villas romanas de la Bética, edited by Hidalgo Prieto (2016), vol. 2, 174-185; AAA 1998, III, 215-223

J. Alonso de Sierra 1994: Sigillata africanas y otras cerámicas de mesa tardía de la villa romana de el Ruedo, Anales de Arqueología Cordobesa 5 (1994), 199-221

D. Vaquerizo y J.M. Noguera, La villa de El Ruedo, Almedinilla (Córdoba). Decoración escultórica e interpretación, Murcia, 1997. 

Peña Cervantes 2010, Torcularia, vol. 2, 456-458. 

José Manuel Lara Fuillerat, Cristina Camacho Cruz and Ignacio Muñiz Jaén, ""Sobre alfares, silos y almazaras en la villa romana de El Ruedo, Almedinilla, Córdoba,"" Antiquitas 11-12 (2000), 233-266

J. R. Vaquerizo Gil and J. R. Carrillo Diaz-Pines, ""The Roman villa of El Ruedo (Almedinilla-Córdoba),"" JRA 8 (1995), 121-151.

Desidero Vaquerizo Gil, ""La villa romana de El Ruedo (Almendinilla, Córdoba), paradigma de asentamiento rural en Baetica,"" in Las ""villae"" tardorromanas en el Occidente del Imperio. Arquitectura y función, ed. Carmen Fernández Ochoa, Virginia García Entero, and Fernando Gil Sendino (Gijón, 2008), 261-284

"
19,"Manuel Moreno Alcaide, ""La Villa del Mitra (Cabra). Puesta al día de las investigaciones,"" ANTIQVITAS 23 (2011), 177-187

A. Blanco, J. García, and M. Bendala, “Excavaciones en Cabra (Córdoba). La Casa del Mitra (Primera campaña, 1972)”, Habis
3 (1972), 297-319.

Chavarría Arnau 2007, 245; García-Entero, Los balnea, 591-592"
20,Fernández Cabrera 2016
21,"Juan Bretones Borrego and Sebastián Vargas Vázquez, ""La villa romana ""El Arca"" (Castro del Río, Córdoba),"" ROMVULA 7 (2008), 209-248."
22,"Jarrega 1991, 23
Peña Cervantes 2010, Torcularia, vol. 2, 526-27"
23,"EXOJO PINO Master's Thesis is digital reconstruction of site with good maps

Peña Cervantes 2010, Torcularia, vol. 2, 475-76

José Ramón Carrillo Díaz-Pinés, ""La producción de aceite en el interior de la Bética: la Subbética cordobesa,"" AnMurcia 27-28 (2011-2012), 349-379, at 351-355
"
24,"Morena Lopez, J. A. 1995. ""Avance de resultados de la intervencion arqueologica de urgencia en la variante de Montilla."" In AAA 1992. III, 252-262. 

Peña Cervantes, 2010, Torcularia, vol. 2, 489-492"
25,"Alors Reifs, R. Maria (2009), ""Intervención de Urgencia. Yacimiento ""Lagarito del Conde."""" Anuario arqueológico de Andalucía 2004.1, 929-934"
26,"Marquez, C. 1989. ""Excavación de un yacimiento romano en Cuesta del Espino (Posadas),"" Ariadna 7 (December 1989), 7-68.

Peña Cervantes 2010, Torcularia, vol. 2, 513-14"
27,"Antiquitas 18-19 (2007), which has two articles on the site, see 2016 vol for more bib

Rafael Carmona Ávila, ""Priego de Córdoba (Priego de Córdoba, Córdoba),"" in Rafael Hidalgo Prieto, ed., Las villas romanas de la Bética (2016), vol. 2, 232-241.

Rafael Carmona Ávila, Dolores Luna Osuna, ""Anotaciones a la ""villa"" romana y poblamiento medieval de Priego (Córdoba): resultados del seguimiento realizado al movimiento de tierras previo a la edificación del solar de C/ Carrera de las Monjas nº 3,"" Antiquitas 22 (2010), 77-88

Rafael Carmona Ávila and Dolores Luna Osuna, ""La ""villa"" romana de Priego (Córdoba): primeros datos aportados por la Actividad Arqueológica Urgente de C/. Carrera de las Monjas, nº 3, de 2007,"" Antiquitas 18-19 (2007), 81-125.

M. M. Ruiz Delgado, ""Un tesorillo de plata de los siglos I y II d. de C. hallado en Priego (Córdoba),"" Numisma 177-179 (1982), 83-90"
28,"http://lopezpalomo.blogspot.com/p/fuente-alamo.html (lol); Chavarría Arnau 2007, 245.

L.A. López Palomo, “Excavaciones de urgencia en la villa romana de Fuente Álamo”, AAA, 1.3, 1985, p. 105-115.

Sebastián Vargas Vázquez, ""Pavimentos musivos del yacimiento romano de Fuente Álamo (Puente Genil, Córdoba): los mosaicos del balneum,"" ROMVLA 12-13 (2013-14), 349-378. 

L.A. López Palomo, ""Balneum y villa. La secuencia romana de Fuente Álamo,"" ROMVLA 12-13 (2013-14), 295-348


María Luz Neira Jiménez, ""Acerca de dos mosaicos hallados en Fuente Álamo (Puente Genil, Córdoba). A tenor de los dibujos de la Comisión de Antigüedades de la Real Academia de la Historia,"" Lucentum 37 (2018), 165-172


"
29,Carrillo Díaz-Pinés 2016
30,"Lara Fuillerat, J. M., R. Alors Reifs and P. J. Lacort Navarro, ""El yacimiento romano de 'Casilla de los Valerios' (Santaella, Córdoba),"" Boletín de la Asociación Provincial de Museos Locales de Córdoba 3 (2002), 221-246. 

José Ramón Carrillo Díaz-Pinés, ""Casilla de los Valerios,"" in Las villas romanas de la bética, 261-269"
31,"Fuentes Romero et al 2016, plus unpublished field reports"
32,"Orfila Pons et al 2016, but also see more in Antiquitas 21 (2009), 97-113

Elena Navas Guerrero, ""La necrópolis tardorromana de la antigua Estación de Autobuses de Granada,"" AAC 21-22 (2010-2011), 221-240

Elena Navas Guerrero, Julio M. Román Punzón, Marcos García García, Mario Gutiérrez Rodríguez, and Antonio Morgado Rodríguez, ""Vida cotidiana a través de la cultura material y los restos arqueofaunísticos de una villa romana de Granada,"" Antiquitas 29 (2017), 109-124

Elena Navas Guerrero, Antonio Garrido Carrillo, Julio M. Román Punzón, and José Antonio Esquivel Guerrero, ""Una nueva ""villa"" romana en el centro de Granada: estudio preliminar,"" Antiquitas 21 (2009), 97-113
"
33,"Rodríguez Aguilera et al 2016; also Rodríguez Aguilera et al 2013-2014, ROMULA 12-13, 475-501; 

Rodríguez Aguilera, José M. García-Consuegra Flores, Julia Rodríguez Aguilera, María J. Pérez Tovar, and Purificación Marín Díaz, ""La villa bajoimperial y tardoantigua de Los Mondragones (Granada),"" Cuadernos de Prehistoria y Arqueología de la Universidad de Granada 24 (2014), 459-496

María J. Pérez Tovar, ""Circulación monetaria en la villa
de Los Mondragones, Granada,"" XV Congreso Nacional de Numismática (Madrid, 28-30 octubre 2014), 1041-1054."
34,"Purificación Marín Díaz, Alberto Dorado Alejos ""Aportaciones al estudio de la cadena operativa del mosaico romano análisis tecnológico de teselas cerámicas de la ""villa"" de los Vergeles (Granada)."" Antiquitas, Nº 26, 2014, págs. 227-234

Purificación Marín Díaz, ""Qualis villa, talis vita. El mosaico romano como fuente documental para el Bajo Imperio y los inicios de la Tardoantigüedad en la Vega de Granada,"" AAC 25-26 (2014-2015), 169-190

Purificación Marín Díaz, ""Una aproximación a la musivaria tardoantigua en Iliberis. Los mosaicos de la villa de Los Vergeles,"" @rqueología y Territorio 8 (2011), 173-186.

García-Entero, Los balnea, 703

Rodríguez Aguilera, Ángel, Rodríguez Aguilera, Julia, Jódar Hódar, Carmen, and Bustamante Álvarez, Macarena, ""Nuevos Datos Sobre la Villa Romana de los Vergeles. Fase 2 Excavación Arqueológica en la Plaza Rafael Guillén (Antigua Plaza Iliberis), Granada,"" Anuario Arqueológico de Andalucìa 2020.  Preprint, 1-25."
35,"Maeso Taviro et al 2016

Peña Cervantes 2010, Torcularia, vol. 2, 573-77

Raya et al 1989: «La villa romana del Cortijo del Canal (Albolote, Granada). Aportación al conocimiento de la economía y población del s. I al IV en el sudeste de la Península Ibérica», XIX CNA, vol. 1, Zaragoza, 803-822

Margarita Orfila Pons, Carlos Maeso Taviro, Elena Sánchez López, and Santiago Moreno Pérez, ""La ocupación rural de la Vega de Granada. Villae, aceite y vino,"" AnMurcia 27-28 (2011-2012), 421-429
"
36,"Pablo Ruiz Montes, María Isabel Fernández Garcia, and María Oliva Rodríguez Ariza, ""Aportaciones a la configuración de las facies cerámicas de época romana en la Vega de Granada: la villa romana de Gabia,"" Antiquitas 22 (2010), 121-140. 

Purificación Marín Díaz and Margarita Orfila Pons, ""La Vega de Granada y sus establecimientos rurales romanos. Nuevos datos sobre la zona residencial de la villa de Gabia,"" ROMVLA 15, 2016, 283-308.

María Oliva Rodríguez-Ariza, María Isabel Fernández, José A. Peña, José A. Esquivel, Encarna Busquet, María Vilas, and Alberto Casas, ""Prospecciones geofísicas en el yacimiento romano de Gabia la Grande (Granada),"" AAA 1994, II, 64-67"
37,"AAA 2004.1, Sevilla, 1571-1578

García-Entero, Los balnea, 595"
38,"Chica et al 1988 book

Peña Cervantes 2010, Torcularia, vol. 2, 579-580

Marín, N. et al. 1989, ""Informe de la excavación arqueológica de emergencia en Loma de Ceres. 1987-1988. Molvízar-Granada,"" AAA III, 220-227."
39,"Chavarría Arnau 2007, 249"
40,"Román Punzón, Julio M., Moreno Alcaíde, Manuel, Ruiz Montes, Pablo, Ramos Noguera, Julio, and Moreno García, Cintia, ""Intervención Arqueológica Prevista en un PGI Mediante Excavación con Sondeos en la Villa Romana de Salar (Granada). Fase I, 2019,"" Anuario Arqueológico de Andalucía (2019). 

Carlos González Martín, ""Poblamiento y territorio en el curso medio del Genil en época romana: nuevas aportaciones arqueológicas. La villa romana de Salar,"" Florentia Iliberritana 25 (2014): 157-194.


GONZÁLEZ, C., EL AMRANI, T. (2013): Guía Arqueológica de la Villa romana de Salar. Granada; 

Carlos Gonzalez Martin, ""Salar (Salar), in HIDALGO PRIETO, R. (coord.) Las villas romanas de la Bética. Volumen II, 315-323. Sevilla, 2016. 


"
41,"Sánchez López et al 2016

Margarita Orfila Pons, Carlos Maeso Taviro, Elena Sánchez López, and Santiago Moreno Pérez, ""La ocupación rural de la Vega de Granada. Villae, aceite y vino,"" AnMurcia 27-28 (2011-2012), 421-429, at 425

Alejandro Fornell Muñoz, ""Nuevas aportaciones al poblamiento romano de la Vega de Granada. Las villae de la Zubia,"" Iberian: Revista Digital de Historia 4 (2012), 40-54"
42,
43,"See specific pubs cited in López Marcos and Buzón Alarcón 2016, esepcially in Romula 12-13 (2013-2014)"
45,"Soto Civantos et al 2016

Marcos Soto Civantos, José Luis Serrano Peña, Miguel Ángel Lechuga Chica, Rosa Fernández Casado, Francisca Pérez Cano, and María José Díaz García, ""Cerro de los Vientos IX,"" in Hidalgo Prieto, ed., 2016, 355-361"
46,"Choclan et alii, 1990

García-Entero, Los balnea, 597
"
47,"A. Recio, “Una villa romana en Martos,” Crónica del XII Congreso Arqueológico Nacional (1971), 625-647

Sebastián Vargas Vázquez, ""Martos (Martos, Jaén),"" in Hidalgo Prieto, ed., Las villas romanas de la Bética (2016), 366-373

Alejandro Recio Veganzones, “Una villa romana en Martos,” Crónica del XII Congreso Arqueológico Nacional (1973), 625-638"
48,"Chavarría Arnau 2007, 250

M. Orfila and L. Muñoz, “Los materiales mobiliarios de la villa romana de Bruñel, Quesada: la vajilla,” in De las sociedades agrícolas a la Hispania romana, Jornadas Históricas del Alto Guadalquivir, Quesada (1992-1995), edited by V. Salvatierra and C. Rísquez, 267-277 (Jaén, 1999).

Manuel Sotomayor Muro, ""La villa romana de Brunel, en Quesada (Jaen),"" Cuadernos de Prehistoria de la Universidad de Granada 10 (1985), 335-366.

M. Sotomayor Muro, “Sobre la villa romana de Bruñel,"" in V. Salvatierra, C. Rísquez (eds.), in De las sociedades agrícolas a la Hispania romana, Jornadas Históricas del Alto Guadalquivir, Quesada (1992-1995), edited by V. Salvatierra and C. Rísquez, 233-244 (Jaén, 1999).

Julio Ramos Noguera, ""Reexcavando sin destruir, cincuenta años después. Aplicación de nuevos planteamientos teóricos y metodologías a la villa romana de Bruñel (Quesada, Jaén),"" @rqueología y Territorio 12 (2015), 177-189"
49,"Cerro del Espino, in Hidalgo Prieto ed., 2016, 386-"
50,"AAA 2006, 2984-2991; Soler et al 2007; 

Sebastián Corzo Pérez, ""La Veguilla,"" in Hidalgo, ed., 2016, 391-398

"
51,"Pilar Corrales Aguilar y Bartolomé Mora Serrano, ""Notas sobre Alameda (Málaga) en época romana,"" Mainake 34 (2013), 55-76

Pilar Corrales Aguilar and José Antonio Rambla Torralvo, ""El núcleo romano de Alameda (Málaga): apuntes para su reinterpretación,"" Mainake 26 (2004), 457-474. 

García-Entero, Los balnea, 600"
52,"Pérez 2011-2012 (Romula)

Francisco Melero García and Andrés Fernández Martín, ""Arroyo del Gallo, un edificio agrícola altoimperial en la vega de Antequera,"" Mainake 33 (2011), 343-363. "
53,Pérez 2011-2012 (Romula) for olive production
54,"Pérez 2011-2012 (Romula) for olive production; 

M. Romero Pérez, “Sondeo Arqueológico de urgencia en la villa romana del Batán, Antequera (Málaga),” AAA 1993, III, 498-502

Luis Efrén Fernández Rodríguez, José Manuel Compaña Prieto, María Isabel Cisneros García, Ana Arcas Barranquero, Manuel Romero Pérez, ""La necrópolis de El Batán. Un nuevo tipo de urnas cinerarias en el ager de Singilia Barba,"" AAC 25-26 (2014-2015), 191-212

"
55,"Vargas Vázquez and Romero Pérez 2016; 

A Riñones Carranza, ""Intervención de urgencia en el ninfeo romano de Carniceria de los Moros (Antequera, Málaga),"" AAA 1985, III, 251-256

A. de Luque Moraño, ""Arqueología antequerana,"" in XI Congreso nacional de arqueología, Mérida 1968 (Zaragoza, 1970), 557-567. "
56,"Ana María Espinar Cappa, María Isabel Cisneros García and Luis-Efren Fernández Rodríguez, ""La fase romana del yacimiento arqueológico de la villa de Caserío Silverio-Mayorga,"" in La villa romana de Caserío Silverio (Antequera), ed. María Isabel Cisneros García, Luis-Efren Fernández Rodríguez, and Manuel Romero Pérez (Antequera: Chapitel, 2014), 67-96. "
57,"Rodriguez Roldan, María Isabel, ""La villa romana de Cortijo Robledo, Antequera (Málaga),"" Mainake 24 (2013), 45-54; Pérez 2011-2012 (Romula) for olive production; also AAA 2008, 4610 ff"
58,"Romero Pérez and Vargas Vázquez 2016,

AAA 2006 3569-3590. 

García-Entero, Los balnea, 602"
59,"Manuel Romero Pérez, ""El Gallumbar: Una villa romana dedicada a la producción del aceite,"" AAA 1987 III, 500-508; 

Pérez 2011-2012 (Romula) for olive production"
60,"Romero Pérez 2013-2014 (Romula 12-13); AAA 1985, III 257-260. 

María Isabel Cisneros García, Manuel Romero Pérez, and Sebastián Vargas Vázquez, ""Huerta del Ciprés,"" in Hidalgo Prieto ed., 2016, 453-457"
61,"Manuel Romero Pérez, ""Producción oleícola durante la Antigüedad en la depresión de Antequera,"" AnMurcia 27-28 (2011-2012), 381-399

Melero García 2006: “La Quinta (Antequera, Málaga), un ejemplo de circulación monetaria en la Bética romana”, en: Actas del XII Congreso Nacional de Numismática, 287-339.

Manuel Romero Pérez and Sebastián Vargas Vázquez, ""La Quinta,"" in Las villas romanas de la Bética, edited by Rafael Hidalgo Prieto, (Seville, 2016, 458-467, at 466"
62,"Pérez 2011-2012 (Romula) for olive production

Manuel Romero Pérez, Marisa Cisneros García, Ana M. Espinar Cappa, Luis EfrénFernández Rodríguez, Francisco Melero García, ""Villas romanas en la depresión de Antequera: novedades desde la arqueología preventiva Francisco Melero García,"" ROMVLA 12-13 (2011-2012), 221-282, at "
63,"Ana Arcas Barranquero, Miguel Crespo Santiago, Manuel Romero Pérez, and Sebastián Vargas Vázquez, ""La Viruenda,"" in Hidalgo Prieto ed 2016, 475-482
"
64,"Rodríguez-Oliva and Beltrán Fortes 2016;

P. Rodríguez Oliva, ""La villa romana de Benalmádena-Costa (Málaga),"" AAA 1985, II, 407-411. 

Gonzalo Pineda de las Infantes, Rafael Dorado Cantero, Miguel Vila Oblitas and Juan Luis Puerto Fernández, ""Excavación arqueológica puntual en la villa romana de Benalmádena-Costa, Málaga,"" AAA 2003, II, 328-335.

Pilar Corrales Aguilar, «Benalroma (Benalmádena, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/benalroma), 26 November, 2016.

Gonzalo Pineda de las Infantas Beato, ""Villas romanas en Benalmádena Costa,"" Mainake 29 (2007), 291-314.


"
65,"Pedro Rodríguez-Oliva and José Beltrán Fortes, ""Los Molinillos,"" in Las villas romana de la Bética, edited by Hidalgo Prieto 2016, 491-497

; AAA 2005, 2567-2574; 

Gonzalo Pineda de las Infantes, Rafael Dorado Cantero and Juan Luis Puerto Fernández, ""Intervención arqueológica de urgencia en Calle García Lorca esquina Avenida Antonio Machado (Benalmádena-Costa, Málaga),"" AAA 2003, III, 109-118. 

Sebastián Corzo Pérez, Gonzalo Pineda de las Infantes, Rafael Dorado Cantero, Miguel Vila Oblitas and Juan Luis Puerto Fernández, ""Circulación monetaria en la pars rustica del yacimiento arqueológico de ""Los Molinillos"" Benalmádena-Costa (Málaga),"" XII Congreso Nacional de Numismática (Madrid-Segovia, 25-27 octubre de 2004), 341-358 (Madrid: Casa de Monedas, 2006)

Juan Luis Puerto Fernández, Gonzalo Pineda de la Infantas Beato and Carmen Bouzas Bello, ""Conservación y restauración del yacimiento ""Los Molinillos."" C/ García Lorca esquina avda. Antonio Machado de Benalmádena."" AAA 2006, 3560-3568. 


Gonzalo Pineda de las Infantas Beato, ""Villas romanas en Benalmádena Costa,"" Mainake 29 (2007), 291-314.

Rafael Dorado Cantero, Miguel Vila, Gonzalo Pineda de las Infantas Beato, Juan Luis Puerto Fernández, ""Excavación arqueológica de urgencia en la fábrica romana de aceite y salazones de Benalmádena Costa (Málaga),"" Bolskan 20 (2003), 141-150.

R. Dorado Cantero, M. Vila Oblitas, J. L. Puerto Fernández, and G. Pineda de las Infantas Beato, ""Benalmádena en época romana. Avance al estudio numismático ocultación de sestercios,"" Boletín de la Sociedad de Amigos de la Cultura de Vélez-Málaga 15-16 (2016), 51-60 
"
66,"AAA 2004.1, 2481-2488

Gonzalo Pineda de las Infantas Beato, ""Villas romanas en Benalmádena Costa,"" Mainake 29 (2007), 291-314.

Pedro Rodríguez-Oliva and José Beltrán Fortes, ""Torremuelle,"" in Las villas romanas de la Bética, edited by Rafael Hidalgo Prieto, 498-503
"
67,"AAA 2001, III.1, 737-744;

García-Entero, Los balnea, 609-614


Ramón F. Hiraldo Aguilera and Juan Cisneros Franco, “Las Termas de la Finca El Secretario. Un edificio singular. En Cilniana 17 (2004), 5-12; 

R. F. Hiraldo Aguilera and D. Piñero Moreno, “Las producciones africanas en el yacimiento romano de la “Finca El Secretario.” Cerámica de mesa, cerámica de cocina y lucernas,” Anales de arqueología cordobesa 23-24 (2012), 201-224.
"
68,"Sebastián Vargas Vázquez and  Manuel Romero Pérez, ""Los Castillones,"" in Las villas romanas de la Bética, 513-521
"
69,"ALIJO HIDALGO, F. Cerámica musulmana en una villa romana del bajo imperio en Cartama (Málaga); 

Encarnación Serrano Ramos and Antonio de Luque Moraño, ""Una villa romana en Cártama (Málaga),"" Mainake 1 (1979), 147-164; 

Encarnación Serrano Ramos and Antonio de Luque Moraño, ""Memoria de las excavaciones de Manguarra y San José (Cártama),"" NAH 4 (1976), 489-546

Encarnación Serrano Ramos, ""Hallazgos de terra sigillata focense tardía en territorio malacitano,"" Mainake 19-20 (1997-1998), 171-183

Encarnación Serrano Ramos, ""La villa de Manguarra y San José,"" in  Cártama en su historia, V Centenario de su incorporación a la corona de Castilla (1485-1985) (Málaga, 1985), 71-88.

Carroles Aguilar 2016

Ceramics also in Járrega 1991"
70,"Corzo Pérez, S. 2009, ""Actividad arqueológica preventiva en el yacimiento de Arroyo Vaquero II, Estepona (Málaga)"", In: AAA’04.I, Sevilla. pp. 2505-2510

Pilar Corrales Aguilar, «Arroyo Vaquero (Estepona, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/arroyo-vaquero), 26 November, 2016."
71,"Corzo Pérez 2002 (Mainake); Arancibia Román, A., ""Villa romana Las Torres de Guadalmansa (Estepona)""AAA 2001, III.2, 701-708

Pilar Corrales Aguilar, «Las Torres de Guadalmansa (Estepona, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/las-torres-de-guadalmansa), 26 November, 2016.


Sebastián Corzo Pérez, ""Nuevos hallazgos numismáticos en la villa romana de Las Torres (Estepona, Málaga),"" Mainake 23 (2002), 423-433.
"
72,"R. Puertas Tricas, “Los hallazgos arqueológicos de Torreblanca del Sol (Fuengirola),” Mainake 8-9 (1986-87), 145-200;

Chavarría Arnau 2007, 247
García-Entero, Los balnea, 606-609

Encarnación Serrano Ramos, ""Hallazgos de terra sigillata focense tardía en territorio malacitano,"" Mainake 19-20 (1997-1998), 171-183, at 174.


R. Puertas Tricas, “Las termas romanas deTorreblanca del Sol (Fuengirola) y su perduración hasta el s. VIII,” Mainake 13-14 (1991-1992), 205-249;

Mª. P. Corrales Aguilar, “Salazones en la provincia de Málaga: Una aproximación a su estudio”,  Mainake 15-16 (1993-1994), 242-259.

Then this which is cited but I can’t find:
R. Puertas Tricas, “Las Termas deTorreblanca del Sol,” Arqueología 83, Madrid, 48.149 (1984);
"
73,"Pilar Corrales Aguilar, «Castillo de la Duquesa (Manilva, Spain)»,  RAMPPA, Atlantic-Mediterranean Excellence Network on Ancient Fishing Heritage (http://ramppa.uca.es/cetaria/castillo-de-la-duquesa), 26 November, 2016.

Encarnación Serrano Ramos, ""La vajilla de mesa en el territorio malacitano a partir de la extinción de la T.S.H.,"" Baetica 23 (2001), 377-423, charts on 404-415

José Beltrán Fortes and Pedro Rodríguez-Oliva, ""San Luis de Sabinillas,"" in Las villas romanas de la bética, ed. Hidalgo Prieto (2016), 545-552

García-Entero, Los balnea, 614-616"
74,"AAA 2004.1, 2884-2889
AAA 2004.1, 2910-2922"
75,"C. Posac Mon y P. Rodríguez Oliva, “La villa romana de Sabinillas (Manilva)”, Mainake, 1, 1979, p. 129-145."
76,"
Pedro Rodríguez-Oliva and José Beltrán Fortes, ""Terán II,"" in Hidalgo Prieto 2016 ed., 559-561"
